Time,PM 1.0 Standard Conc.,PM 2.5 Standard Conc.,PM 10 Standard Conc.,Particles > 0.3um / 0.1L air:,Particles > 0.5um / 0.1L air:,Particles > 1.0um / 0.1L air:,Particles > 2.5um / 0.1L air:,Particles > 5.0um / 0.1L air:,Particles > 10 um / 0.1L air:,Temperature,Gas,Humidity,Pressure,Altitude
1740007670.479817,0,0,0,108,32,1,0,0,0,34.13,17304,100,702.8,2981.27
1740007671.4905806,0,0,0,123,36,1,0,0,0,26.3,14311,49.17,1010.64,21.75
1740007672.5007527,0,0,0,123,36,1,0,0,0,26.24,23059,48.96,1010.64,21.74
1740007673.512136,0,0,0,123,36,1,0,0,0,26.2,29728,48.71,1010.65,21.69
1740007674.5235534,0,0,0,129,38,1,0,0,0,26.17,34246,48.46,1010.65,21.64
1740007675.5347455,0,0,0,129,38,1,0,0,0,26.16,38176,48.18,1010.65,21.63
1740007676.546176,0,0,0,129,38,1,0,0,0,26.15,41015,47.9,1010.65,21.71
1740007677.5572438,0,0,0,129,38,1,0,0,0,26.14,43663,47.68,1010.64,21.73
1740007678.5683632,0,0,0,129,38,1,0,0,0,26.14,46113,47.49,1010.64,21.74
1740007679.5796864,0,0,0,129,38,1,0,0,0,26.14,48375,47.34,1010.64,21.77
1740007680.5910335,0,0,0,117,36,0,0,0,0,26.14,49489,47.29,1010.64,21.78
1740007681.602676,0,0,0,117,36,0,0,0,0,26.16,51090,47.62,1010.64,21.76
1740007682.6137938,0,0,0,117,36,0,0,0,0,26.17,52697,48.26,1010.64,21.72
1740007683.6247544,0,0,0,123,36,0,0,0,0,26.19,54197,48.82,1010.65,21.63
1740007684.6356041,0,0,0,123,36,0,0,0,0,26.2,55343,49.19,1010.65,21.65
1740007685.6465566,0,0,0,123,36,0,0,0,0,26.22,56615,49.56,1010.65,21.65
1740007686.658626,0,0,0,129,36,0,0,0,0,26.23,57947,50.02,1010.66,21.62
1740007687.6706204,0,0,0,129,36,0,0,0,0,26.24,58926,50.39,1010.65,21.69
1740007688.68264,0,0,0,129,36,0,0,0,0,26.26,59938,50.8,1010.65,21.63
1740007689.6945055,0,0,0,141,40,1,0,0,0,26.28,61030,51.19,1010.66,21.59
1740007690.705224,0,0,0,141,40,1,0,0,0,26.29,62440,51.42,1010.66,21.6
1740007691.715946,0,0,0,141,40,1,0,0,0,26.3,63820,51.35,1010.65,21.67
1740007692.7266736,0,0,0,150,43,2,0,0,0,26.31,64858,51.13,1010.64,21.73
1740007693.737357,0,0,0,150,43,2,0,0,0,26.32,65775,51.13,1010.64,21.76
1740007694.7481089,0,0,0,150,43,2,0,0,0,26.31,67471,51.22,1010.63,21.84
1740007695.7594237,0,0,0,156,44,3,0,0,0,26.3,68688,50.94,1010.62,21.88
1740007696.7701645,0,0,0,156,44,3,0,0,0,26.29,69834,50.57,1010.63,21.87
1740007697.7821662,0,0,0,156,44,3,0,0,0,26.28,70658,50.12,1010.63,21.8
1740007698.7939827,0,0,0,171,47,4,0,0,0,26.3,68463,50.23,1010.64,21.77
