Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746052033.51,37.87533483647652,-122.25841494784643,38.5,2.0,4.0,4.0,25.63810546875,48.78768187564077,1001.9878743394195,94.18967592976135,25563.5
1746052035.49,37.875336891741874,-122.25838605401293,46.0,2.0,4.0,4.0,25.3165234375,48.71674135285744,1001.8340832401658,95.48186370118971,18871.5
1746052037.42,37.87533646701109,-122.25838008440782,46.0,2.0,4.0,4.0,24.37716796875,49.02065008846308,1001.4580308050895,98.64205676753151,16146.0
1746052039.52,37.875268432683995,-122.25860146290427,48.5,2.0,4.0,4.0,23.907734374999997,49.1318446055053,1001.2510636026052,100.38174506462931,22512.5
1746052041.45,37.8752385148635,-122.25867883531434,33.5,2.0,4.0,4.0,23.662714843750003,49.17101310001401,1001.1502798030883,101.22900339710546,27651.0
1746052043.47,37.87523569039483,-122.2586859948697,39.5,2.0,4.0,4.0,23.546015625,49.10479632904129,1001.1120002368912,101.55082632388383,31534.5
1746052045.44,37.875229028453354,-122.25855157608726,39.5,2.0,4.0,4.0,23.495624999999997,49.06510338673564,1001.1197824578733,101.48539905063774,34337.0
1746052047.48,37.87519420571401,-122.25857808173474,50.5,2.0,3.5,3.5,23.4739453125,49.089715535621764,1001.178981515269,100.98770915957081,37302.5
1746052049.47,37.87519057311807,-122.25858075405168,34.5,2.0,3.5,3.5,23.4128125,48.948610637987464,1001.2402620044006,100.47254439999395,40308.0
1746052051.48,37.87520889489197,-122.25867783598898,42.5,2.0,3.0,3.0,23.3534375,48.5686017788487,1001.2706221440899,100.2173260594897,42752.0
1746052053.45,37.87516133959409,-122.25878257000954,40.5,2.0,3.0,3.0,23.323847656250003,48.21426253098031,1001.2762049863071,100.1703952762557,44920.5
1746052055.46,37.8751552359141,-122.25879600619791,40.5,2.0,3.0,3.0,23.281855468750003,47.95561686522134,1001.2942314604215,100.01886231722187,49385.5
1746052057.45,37.87515938950337,-122.25866827066608,41.0,2.0,3.0,3.0,23.25890625,47.7749856842005,1001.3214912947581,99.78971653263912,51133.5
1746052059.51,37.87508773553468,-122.25874843552874,43.5,2.5,3.0,3.0,23.271113281250003,47.78249938417745,1001.3757319522263,99.3337851513426,53175.0
1746052061.46,37.87506001194797,-122.25878174322138,45.0,2.5,3.0,3.0,23.2817578125,47.97369566815185,1001.4332053758956,98.85070225996557,54909.0
1746052063.4,37.87511616524946,-122.25864499090187,45.0,2.5,3.0,3.0,23.2817578125,47.97369566815185,1001.4332053758956,98.85070225996557,54909.0
1746052065.57,37.87501418695597,-122.25871934984868,43.0,3.0,3.0,3.0,23.285859375,48.16731876415449,1001.503946102521,98.25613296549906,57077.5
1746052067.45,37.87502080527247,-122.25866564314413,33.5,3.0,3.0,3.0,23.2878125,48.14040744454443,1001.5531468413396,97.84262493871762,59469.0
1746052069.49,37.875005840416144,-122.25862034463549,37.5,3.0,4.0,4.0,23.2575390625,47.8983694895564,1001.5532808448262,97.84149872980183,61501.5
1746052071.45,37.8750073964925,-122.25857150471788,38.5,3.0,4.0,4.0,23.237421875000003,47.778387367787005,1001.555743116734,97.82080501831012,62604.5
1746052073.48,37.8750073964925,-122.25857150471788,38.5,3.0,4.0,4.0,23.2227734375,48.2411713541857,1001.5583504094935,97.7988926169548,64310.5
1746052075.46,37.8750073964925,-122.25857150471788,34.5,3.0,4.0,4.0,23.239375,48.87247975126192,1001.5769444796197,97.64262373807966,65897.5
1746052077.48,37.8750073964925,-122.25857150471788,39.5,3.0,4.0,4.0,23.253535156250003,49.00763907775181,1001.5980939424171,97.46488185174971,67762.5
1746052079.46,37.8750073964925,-122.25857150471788,37.5,3.0,4.0,4.0,23.28732421875,49.05733660791137,1001.6015103838794,97.43616993056997,69331.0
1746052081.48,37.87500996006103,-122.25871420111972,40.0,3.0,4.0,5.0,23.29826171875,48.9313121274577,1001.5890743691235,97.54068268413909,71717.5
1746052083.44,37.87500928665077,-122.25871436394294,40.0,3.0,4.0,5.0,23.313593750000003,48.70896864126934,1001.5689809256955,97.70955097246896,73657.5
1746052085.48,37.875009545667595,-122.2587157553928,32.0,2.5,4.0,5.0,23.3188671875,48.54011212314146,1001.5594536581524,97.7896205438446,75195.5
1746052087.46,37.87494028517591,-122.25874324191263,25.5,2.5,4.0,5.0,23.3227734375,48.37123131846209,1001.5806478614497,97.61150012631924,76926.5
1746052089.48,37.87484588060884,-122.25877735830656,29.0,2.0,4.0,5.0,23.336542968750003,48.27925308375549,1001.5977238941769,97.46799161742352,78636.5
1746052091.46,37.87481920228539,-122.25879219626596,34.5,2.0,4.0,5.0,23.34787109375,48.120588357391114,1001.6029318793244,97.42422374435317,80093.5
1746052093.46,37.87480536216409,-122.25882013989983,34.5,2.0,4.0,4.0,23.3753125,48.078680085299084,1001.6046683367542,97.40963050442141,81124.0
1746052095.45,37.87480536216409,-122.25882013989983,42.0,2.0,4.0,4.0,23.39533203125,48.08717486938052,1001.6020256240688,97.43183981992662,82795.0
1746052097.47,37.87480536216409,-122.25882013989983,31.5,2.0,4.0,4.5,23.409785156250003,47.983343557699754,1001.6007663126803,97.44242309268895,84580.0
1746052099.45,37.87480536216409,-122.25882013989983,33.5,2.0,4.0,4.5,23.4251171875,47.870629988497484,1001.6095154014649,97.36889600098746,86102.0
1746052101.47,37.87480536216409,-122.25882013989983,33.5,2.0,4.0,5.0,23.4524609375,47.99166647283977,1001.618711808243,97.29161016100082,87505.0
1746052103.48,37.87480536216409,-122.25882013989983,36.5,2.0,4.0,5.0,23.465937500000003,47.788217600828844,1001.6233950129281,97.25225313839249,88733.0
1746052105.48,37.874714114507285,-122.25895967684154,34.0,3.0,4.0,5.0,23.48576171875,47.86599977359238,1001.6416234200957,97.09906552582495,89450.0
1746052107.45,37.87470771777985,-122.25897170922772,45.0,3.0,4.0,5.0,23.53341796875,48.052826343483716,1001.6444241697396,97.07552880886874,90970.0
1746052109.48,37.87470539681157,-122.25897568006266,31.0,3.0,4.0,5.0,23.57794921875,48.13679208214036,1001.6443471064945,97.0761764037608,92394.0
1746052111.4,37.87467132103709,-122.2589050970389,31.0,3.0,4.0,5.0,23.57794921875,48.13679208214036,1001.6443471064945,97.0761764037608,92394.0
1746052113.53,37.87463719718683,-122.2588515259327,43.5,3.0,4.0,5.0,23.63302734375,48.11337504716291,1001.6540465558999,96.99466541360562,96260.0
1746052115.45,37.874632532107704,-122.25884593745025,38.0,3.0,4.0,5.0,23.67765625,48.16417567228464,1001.6634583497245,96.91557242908307,97292.5
1746052117.47,37.874733331047786,-122.25886774354089,29.5,3.0,4.0,6.0,23.71818359375,48.13896090844836,1001.6708499067863,96.85345703118224,98758.5
1746052119.47,37.874755293480476,-122.25880759694076,34.0,3.0,4.0,6.0,23.775410156249997,48.176222364528,1001.6570710522865,96.96924871729539,100043.0
