Time,Latitude,Longitude,counts
1744842191.03,37.8754403864594,-122.25944792533008,45.5
1744842193.0,37.875436705264285,-122.25941201975013,41.0
1744842195.01,37.87541758067373,-122.25940706267326,42.0
1744842197.0,37.87541634537139,-122.25940681910501,36.0
1744842198.99,37.87545425127455,-122.25943514133799,36.0
1744842201.0,37.875441462986515,-122.2594376302875,33.0
1744842203.01,37.875440527654284,-122.25943774230385,42.0
1744842205.0,37.87545431920259,-122.25944745565755,36.5
1744842207.0,37.875443659123576,-122.259449900488,36.5
1744842208.99,37.87544287499843,-122.25945003226396,36.5
1744842211.0,37.8753776335259,-122.2594159434009,45.0
1744842213.03,37.87539816747608,-122.25944514722462,31.0
1744842215.0,37.87538916346842,-122.2594273241142,35.5
1744842216.99,37.87533246701239,-122.2594416915394,35.5
1744842219.01,37.87532200942249,-122.25944046048906,42.5
1744842221.01,37.875321055823015,-122.2594403712008,41.5
1744842223.02,37.87527220229145,-122.25940970820524,30.5
1744842225.0,37.87526284470737,-122.25940129077779,46.0
1744842226.99,37.87526191152066,-122.25940055230032,46.0
1744842229.01,37.8752649375182,-122.25941035943745,33.5
1744842231.01,37.87527201492924,-122.25942084246897,42.0
1744842233.01,37.875272416361966,-122.25942188482045,38.5
1744842235.0,37.875134312446114,-122.25911430183852,29.5
1744842236.98,37.87512237982839,-122.25908895778022,29.5
1744842239.0,37.87511203860609,-122.2590524327693,43.0
1744842241.0,37.87522643758668,-122.25909158582547,56.5
1744842243.02,37.87526365901633,-122.25911510406233,36.5
1744842244.99,37.875266684114465,-122.25911676696072,36.5
1744842247.0,37.87526077791446,-122.25904704687406,35.5
1744842249.01,37.875258392363705,-122.25903350893506,27.5
1744842251.01,37.875258225375006,-122.25903229929493,35.0
1744842253.01,37.87529425557819,-122.25900090841186,37.0
1744842254.98,37.875303689154556,-122.25899772076737,37.0
1744842257.0,37.87530431708926,-122.25899733370208,38.5
1744842259.0,37.87531000986458,-122.25899832357787,38.5
1744842261.0,37.875310841153826,-122.25900407665858,35.0
1744842263.01,37.87531097654255,-122.25900426436125,38.0
