Time,PM 1.0 Standard Conc.,PM 2.5 Standard Conc.,PM 10 Standard Conc.,Particles > 0.3um / 0.1L air:,Particles > 0.5um / 0.1L air:,Particles > 1.0um / 0.1L air:,Particles > 2.5um / 0.1L air:,Particles > 5.0um / 0.1L air:,Particles > 10 um / 0.1L air:,Temperature,Gas,Humidity,Pressure,Altitude
1740609468.7836215,1,3,3,642,151,18,5,0,0,33.39,84840,100,766.57,2292.23
1740609469.915365,2,4,4,642,151,18,5,0,0,25.46,29346,42.19,1006.44,56.87
1740609470.9261463,2,4,4,642,151,18,5,0,0,25.43,38758,41.66,1006.45,56.73
1740609471.9369087,2,4,4,657,153,21,5,0,0,25.43,49656,41.06,1006.46,56.68
1740609472.9477043,2,4,4,657,153,21,5,0,0,25.44,57533,40.47,1006.47,56.57
1740609473.9586263,2,4,4,657,153,21,5,0,0,25.47,64526,39.94,1006.48,56.48
1740609474.9702337,2,4,4,603,133,21,5,0,0,25.5,70123,39.42,1006.5,56.39
1740609475.9822085,2,4,4,603,133,21,5,0,0,25.53,75018,38.96,1006.5,56.38
1740609476.9937513,2,4,4,603,133,21,5,0,0,25.56,79555,38.51,1006.5,56.34
1740609478.0059447,2,3,3,603,136,19,2,0,0,25.59,83395,38.08,1006.5,56.34
1740609479.0182452,2,3,3,603,136,19,2,0,0,25.62,87104,37.7,1006.51,56.29
1740609480.0303795,2,3,3,603,136,19,2,0,0,25.64,90690,37.34,1006.51,56.29
1740609481.0423403,2,3,3,642,141,22,2,0,0,25.66,92498,37.0,1006.51,56.24
1740609482.0541413,2,3,3,642,141,22,2,0,0,25.68,97322,36.75,1006.51,56.28
1740609483.0661993,2,3,3,642,141,22,2,0,0,25.7,99352,36.56,1006.52,56.22
1740609484.0785036,2,3,3,657,146,24,2,0,0,25.71,102293,36.39,1006.52,56.18
1740609485.090414,2,3,3,657,146,24,2,0,0,25.73,104352,36.25,1006.52,56.18
1740609486.102047,2,3,3,657,146,24,2,0,0,25.74,107143,36.11,1006.52,56.18
1740609487.1128032,2,4,5,669,146,29,5,1,1,25.75,109676,35.97,1006.52,56.18
1740609488.1236053,2,4,5,669,146,29,5,1,1,25.75,111410,35.81,1006.51,56.23
1740609489.1343625,2,4,5,669,146,29,5,1,1,25.76,112836,35.65,1006.51,56.25
1740609490.1454058,2,4,5,675,151,31,5,1,1,25.76,115271,35.5,1006.51,56.27
1740609491.1574686,2,4,5,675,151,31,5,1,1,25.76,117110,35.35,1006.5,56.32
1740609492.1694484,2,4,5,675,151,31,5,1,1,25.76,118289,35.21,1006.51,56.24
1740609493.1814485,2,4,5,618,149,34,4,1,1,25.76,119330,35.08,1006.5,56.39
1740609494.1934848,2,4,5,618,149,34,4,1,1,25.76,121051,34.94,1006.5,56.31
1740609495.2081187,2,4,5,618,149,34,4,1,1,25.75,122481,34.82,1006.5,56.35
1740609496.2201247,2,4,5,579,144,35,4,1,1,25.75,122822,34.71,1006.5,56.36
1740609497.2323244,2,4,5,579,144,35,4,1,1,25.75,123684,34.62,1006.5,56.35
1740609498.2441182,2,4,5,579,144,35,4,1,1,25.74,124558,34.54,1006.51,56.31
1740609499.256208,2,4,5,594,145,37,4,1,1,25.74,125445,34.45,1006.5,56.33
1740609500.2681625,2,4,5,594,145,37,4,1,1,25.73,126163,34.38,1006.5,56.35
1740609501.27993,2,4,5,594,145,37,4,1,1,25.73,127073,34.32,1006.5,56.34
1740609502.2920222,2,5,5,612,151,37,7,1,1,25.72,127073,34.26,1006.5,56.34
1740609503.3040056,2,5,5,612,151,37,7,1,1,25.71,129596,34.2,1006.5,56.34
1740609504.3160071,2,5,5,612,151,37,7,1,1,25.71,129121,34.15,1006.5,56.35
1740609505.3275194,2,5,6,621,164,40,8,1,1,25.7,130556,34.1,1006.5,56.31
1740609506.3397493,2,5,6,621,164,40,8,1,1,25.69,131236,34.08,1006.5,56.33
1740609507.3517363,2,5,6,621,164,40,8,1,1,25.68,132320,34.03,1006.5,56.34
1740609508.3636963,2,5,5,585,151,34,8,1,1,25.67,132221,33.98,1006.5,56.34
1740609509.3757262,2,5,5,585,151,34,8,1,1,25.67,132419,33.95,1006.49,56.39
1740609510.38775,2,5,5,585,151,34,8,1,1,25.66,132221,33.92,1006.5,56.37
