Time,PM 1.0 Standard Conc.,PM 2.5 Standard Conc.,PM 10 Standard Conc.,Particles > 0.3um / 0.1L air:,Particles > 0.5um / 0.1L air:,Particles > 1.0um / 0.1L air:,Particles > 2.5um / 0.1L air:,Particles > 5.0um / 0.1L air:,Particles > 10 um / 0.1L air:,Temperature,Gas,Humidity,Pressure,Altitude
1740610645.5711522,1,1,1,324,82,6,0,0,0,33.39,82613,100,766.57,2292.23
1740610646.5822532,1,1,1,324,82,6,0,0,0,23.38,10600,35.63,1005.02,68.78
1740610647.5942798,1,1,1,327,82,5,0,0,0,23.43,16188,35.59,1005.02,68.74
1740610648.606227,1,1,1,327,82,5,0,0,0,23.5,22009,35.5,1005.03,68.68
1740610649.6184006,1,1,1,327,82,5,0,0,0,23.55,29229,35.37,1005.03,68.66
1740610650.630681,0,0,0,327,85,4,0,0,0,23.6,35976,35.21,1005.03,68.68
1740610651.6427748,0,0,0,327,85,4,0,0,0,23.63,42369,35.0,1005.02,68.75
1740610652.6548002,0,0,0,327,85,4,0,0,0,23.66,50597,34.71,1005.03,68.67
1740610653.6668658,1,1,1,282,74,5,0,0,0,23.68,56719,34.39,1005.03,68.63
1740610654.6789262,1,1,1,282,74,5,0,0,0,23.7,62959,34.12,1005.05,68.51
1740610655.6902804,1,1,1,282,74,5,0,0,0,23.73,68435,33.85,1005.07,68.33
1740610656.701522,0,0,0,237,61,4,0,0,0,23.76,73886,33.7,1005.1,68.09
1740610657.7135863,0,0,0,237,61,4,0,0,0,23.8,78914,33.46,1005.1,68.05
1740610658.7254472,0,0,0,237,61,4,0,0,0,23.85,83395,33.18,1005.1,68.05
1740610659.7369475,0,0,0,225,56,3,0,0,0,23.9,88238,33.06,1005.1,68.07
1740610660.7490458,0,0,0,225,56,3,0,0,0,23.95,92498,32.72,1005.1,68.04
1740610661.7610664,0,0,0,225,56,3,0,0,0,24.0,99689,32.43,1005.1,68.07
1740610662.7731469,0,0,0,219,54,3,0,0,0,24.05,103494,32.06,1005.09,68.14
1740610663.7851455,0,0,0,219,54,3,0,0,0,24.1,107143,31.83,1005.08,68.2
