Time,PM 1.0 Standard Conc.,PM 2.5 Standard Conc.,PM 10 Standard Conc.,Particles > 0.3um / 0.1L air:,Particles > 0.5um / 0.1L air:,Particles > 1.0um / 0.1L air:,Particles > 2.5um / 0.1L air:,Particles > 5.0um / 0.1L air:,Particles > 10 um / 0.1L air:,Temperature,Gas,Humidity,Pressure,Altitude
1740612793.2922754,0,0,0,87,21,3,0,0,0,33.39,110363,100,766.57,2292.23
1740612794.3039129,0,0,0,87,21,3,0,0,0,22.24,7829,31.29,1005.01,68.82
1740612795.3146918,0,0,0,105,32,4,0,0,0,22.3,11883,31.31,1005.02,68.77
1740612796.3256483,0,0,0,105,32,4,0,0,0,22.36,16152,31.31,1005.02,68.77
1740612797.336408,0,0,0,105,32,4,0,0,0,22.42,20571,31.3,1005.02,68.79
1740612798.3471687,0,0,0,114,35,4,0,0,0,22.47,26254,31.27,1005.01,68.79
1740612799.3583333,0,0,0,114,35,4,0,0,0,22.54,30974,31.22,1005.01,68.81
1740612800.3703537,0,0,0,114,35,4,0,0,0,22.62,35743,31.17,1005.01,68.84
1740612801.382257,0,0,0,129,38,4,0,0,0,22.7,40243,31.33,1005.03,68.68
1740612802.3943996,0,0,0,129,38,4,0,0,0,22.79,44462,31.02,1005.03,68.69
1740612803.4066885,0,0,0,129,38,4,0,0,0,22.86,51453,30.94,1005.02,68.75
1740612804.418496,0,0,0,120,35,3,0,0,0,22.93,56320,30.92,1005.01,68.82
1740612805.4307826,0,0,0,120,35,3,0,0,0,23.0,60083,30.84,1005.0,68.94
1740612806.4427025,0,0,0,120,35,3,0,0,0,23.05,64432,30.65,1004.97,69.13
1740612807.4543698,0,0,0,141,33,2,0,0,0,23.1,68223,30.54,1004.96,69.28
1740612808.466446,0,0,0,141,33,2,0,0,0,23.14,72369,30.43,1004.95,69.32
1740612809.4784722,0,0,0,141,33,2,0,0,0,23.17,76054,30.32,1004.94,69.45
1740612810.4905303,0,0,0,144,34,2,0,0,0,23.2,79627,30.22,1004.92,69.57
1740612811.5025764,0,0,0,144,34,2,0,0,0,23.22,83002,30.13,1004.92,69.59
1740612812.5146894,0,0,0,144,34,2,0,0,0,23.24,86421,30.04,1004.91,69.63
1740612813.5266163,0,0,0,156,38,3,0,0,0,23.26,89766,29.93,1004.91,69.64
1740612814.5380962,0,0,0,156,38,3,0,0,0,23.28,92791,29.87,1004.91,69.67
1740612815.5502203,0,0,0,156,38,3,0,0,0,23.3,99240,29.79,1004.91,69.7
1740612816.5622737,0,0,0,165,43,3,0,0,0,23.33,102115,29.7,1004.92,69.61
1740612817.57444,0,0,0,165,43,3,0,0,0,23.36,105919,29.67,1004.94,69.41
1740612818.5864313,0,0,0,165,43,3,0,0,0,23.42,108462,29.51,1004.97,69.2
1740612819.5985355,0,0,0,186,46,4,0,0,0,23.48,110779,29.45,1004.99,69.0
1740612820.610795,0,0,0,186,46,4,0,0,0,23.54,114152,29.39,1005.01,68.87
1740612821.6228461,0,0,0,186,46,4,0,0,0,23.6,116645,29.3,1005.02,68.78
1740612822.6348825,0,0,0,180,44,4,0,0,0,23.65,118927,29.24,1005.01,68.79
1740612823.6463661,0,0,0,180,44,4,0,0,0,23.69,115422,29.16,1005.02,68.74
1740612824.6579525,0,0,0,180,44,4,0,0,0,24.05,68329,29.58,1005.02,68.76
1740612825.6687412,0,0,0,141,31,4,0,0,0,24.29,72132,31.67,1005.05,68.51
1740612826.679486,0,0,0,141,31,4,0,0,0,24.48,60247,34.39,1005.05,68.51
1740612827.6902392,0,0,0,141,31,4,0,0,0,24.7,73824,37.03,1005.06,68.43
1740612828.701033,0,0,0,156,28,4,0,0,0,24.88,83474,38.76,1005.06,68.38
1740612829.7120318,0,0,0,156,28,4,0,0,0,25.16,65388,39.77,1005.08,68.28
